Rank,Player,Pos.,Weekly Salary,2018 Salary,Club
448,Alec Kann (http://www.capology.com/soccer/player/alec-kann/salary-profile/),GK,"$1,808","$94,008",Atlanta United
449,Christian Dean (http://www.capology.com/soccer/player/christian-dean/salary-profile/),D,"$1,791","$93,125",Chicago Fire
450,Jared Watts (http://www.capology.com/soccer/player/jared-watts/salary-profile/),D,"$1,779","$92,500",Houston Dynamo
451,Jalil Anibaba (http://www.capology.com/soccer/player/jalil-anibaba/salary-profile/),D,"$1,731","$90,000",New England Revolution
452,Paxton Pomykal (http://www.capology.com/soccer/player/paxton-pomykal/salary-profile/),M,"$1,731","$90,000",FC Dallas
453,RJ Allen (http://www.capology.com/soccer/player/rj-allen/salary-profile/),D,"$1,731","$90,000",Orlando City
454,Kortne Ford (http://www.capology.com/soccer/player/kortne-ford/salary-profile/),D,"$1,721","$89,500",Colorado Rapids
455,Chris Durkin (http://www.capology.com/soccer/player/chris-durkin/salary-profile/),D,"$1,715","$89,167",D.C. United
456,Cam Lindley (http://www.capology.com/soccer/player/cam-lindley/salary-profile/),M,"$1,710","$88,906",Orlando City
457,Michael Murillo (http://www.capology.com/soccer/player/michael-murillo/salary-profile/),D,"$1,707","$88,754",NY Red Bulls
458,Amro Tarek (http://www.capology.com/soccer/player/amro-tarek/salary-profile/),D,"$1,699","$88,333",Orlando City
459,James Murphy (http://www.capology.com/soccer/player/james-murphy/salary-profile/),M,"$1,683","$87,500",LAFC
460,Andrew Carleton (http://www.capology.com/soccer/player/andrew-carleton/salary-profile/),F,"$1,681","$87,400",Atlanta United
461,Daniel Lovitz (http://www.capology.com/soccer/player/daniel-lovitz/salary-profile/),M,"$1,666","$86,625",Montreal Impact
462,Brent Kallman (http://www.capology.com/soccer/player/brent-kallman/salary-profile/),D,"$1,650","$85,792",Minnesota United
463,Brad Stuver (http://www.capology.com/soccer/player/brad-stuver/salary-profile/),GK,"$1,635","$85,000",NYC FC
464,Jose Villarreal (http://www.capology.com/soccer/player/jose-villarreal/salary-profile/),F,"$1,635","$85,000",Orlando City
465,Latif Blessing (http://www.capology.com/soccer/player/latif-blessing/salary-profile/),F,"$1,623","$84,375",LAFC
466,Maxime Crepeau (http://www.capology.com/soccer/player/maxime-crepeau/salary-profile/),GK,"$1,617","$84,083",Montreal Impact
467,Chris Goslin (http://www.capology.com/soccer/player/chris-goslin/salary-profile/),M,"$1,615","$84,000",Atlanta United
468,Zachary Herivaux (http://www.capology.com/soccer/player/zachary-herivaux/salary-profile/),M,"$1,614","$83,906",New England Revolution
469,Jose Leiton (http://www.capology.com/soccer/player/jose-leiton/salary-profile/),F,"$1,596","$83,000",Major League Soccer L.L.C
470,Hugo Arellano (http://www.capology.com/soccer/player/hugo-arellano/salary-profile/),D,"$1,588","$82,574",LA Galaxy
471,Gianluca Busio (http://www.capology.com/soccer/player/gianluca-busio/salary-profile/),F,"$1,587","$82,504",Sporting KC
472,Grant Lillard (http://www.capology.com/soccer/player/grant-lillard/salary-profile/),D,"$1,587","$82,500",Chicago Fire
473,Gilbert Fuentes (http://www.capology.com/soccer/player/gilbert-fuentes/salary-profile/),M,"$1,577","$82,000",San Jose Earthquakes
474,Daniel Salloi (http://www.capology.com/soccer/player/daniel-salloi/salary-profile/),F,"$1,570","$81,625",Sporting KC
475,Chris Schuler (http://www.capology.com/soccer/player/chris-schuler/salary-profile/),D,"$1,563","$81,250",Orlando City
476,Jonathan Kempin (http://www.capology.com/soccer/player/jonathan-kempin/salary-profile/),GK,"$1,543","$80,256",Columbus Crew
477,Calum Mallace (http://www.capology.com/soccer/player/calum-mallace/salary-profile/),M,"$1,538","$80,000",LAFC
478,Joe Scally (http://www.capology.com/soccer/player/joe-scally/salary-profile/),D,"$1,468","$76,317",NYC FC
479,Ricky Lopez-Espin (http://www.capology.com/soccer/player/ricky-lopez-espin/salary-profile/),F,"$1,466","$76,250",Real Salt Lake
480,Derrick Jones (http://www.capology.com/soccer/player/derrick-jones/salary-profile/),M,"$1,460","$75,900",Philadelphia Union
481,Jacori Hayes (http://www.capology.com/soccer/player/jacori-hayes/salary-profile/),M,"$1,457","$75,750",FC Dallas
482,Lalas Abubakar (http://www.capology.com/soccer/player/lalas-abubakar/salary-profile/),D,"$1,457","$75,750",Columbus Crew
483,Nick DePuy (http://www.capology.com/soccer/player/nick-depuy/salary-profile/),F,"$1,457","$75,754",Montreal Impact
484,Niko Hansen (http://www.capology.com/soccer/player/niko-hansen/salary-profile/),F,"$1,457","$75,750",Columbus Crew
485,James Sands (http://www.capology.com/soccer/player/james-sands/salary-profile/),D,"$1,449","$75,333",NYC FC
486,Bill Tuiloma (http://www.capology.com/soccer/player/bill-tuiloma/salary-profile/),D,"$1,442","$75,000",Portland Timbers
487,Jalen Robinson (http://www.capology.com/soccer/player/jalen-robinson/salary-profile/),D,"$1,442","$75,000",D.C. United
488,Mark-Anthony Kaye (http://www.capology.com/soccer/player/mark-anthony-kaye/salary-profile/),M,"$1,442","$75,000",LAFC
489,Victor Arboleda (http://www.capology.com/soccer/player/victor-arboleda/salary-profile/),F,"$1,442","$75,000",Portland Timbers
490,Dave Romney (http://www.capology.com/soccer/player/dave-romney/salary-profile/),D,"$1,431","$74,419",LA Galaxy
491,Cody Cropper (http://www.capology.com/soccer/player/cody-cropper/salary-profile/),F,"$1,420","$73,828",New England Revolution
492,Derrick Etienne (http://www.capology.com/soccer/player/derrick-etienne/salary-profile/),M,"$1,413","$73,500",NY Red Bulls
493,Anthony Fontana (http://www.capology.com/soccer/player/anthony-fontana/salary-profile/),M,"$1,412","$73,422",Philadelphia Union
494,Cristian Martinez (http://www.capology.com/soccer/player/cristian-martinez/salary-profile/),M,"$1,412","$73,415",Columbus Crew
495,Alex Horwath (http://www.capology.com/soccer/player/alex-horwath/salary-profile/),GK,"$1,411","$73,363",Real Salt Lake
496,Aaron Long (http://www.capology.com/soccer/player/aaron-long/salary-profile/),D,"$1,406","$73,125",NY Red Bulls
497,Ben Spencer (http://www.capology.com/soccer/player/ben-spencer/salary-profile/),F,"$1,400","$72,800",Toronto FC
498,Bradford Jamieson (http://www.capology.com/soccer/player/bradford-jamieson/salary-profile/),F,"$1,399","$72,765",LA Galaxy
499,Alphonso Davies (http://www.capology.com/soccer/player/alphonso-davies/salary-profile/),M,"$1,394","$72,500",Vancouver Whitecaps
500,Isaac Angking (http://www.capology.com/soccer/player/isaac-angking/salary-profile/),M,"$1,394","$72,500",New England Revolution
501,Liam Fraser (http://www.capology.com/soccer/player/liam-fraser/salary-profile/),M,"$1,394","$72,500",Toronto FC
502,Rennico Clarke (http://www.capology.com/soccer/player/rennico-clarke/salary-profile/),D,"$1,394","$72,500",Major League Soccer L.L.C
503,Efrain Alvarez (http://www.capology.com/soccer/player/efrain-alvarez/salary-profile/),M,"$1,389","$72,234",LA Galaxy
504,Bruno Miranda (http://www.capology.com/soccer/player/bruno-miranda/salary-profile/),F,"$1,384","$71,976",D.C. United
505,Jakob Nerwinski (http://www.capology.com/soccer/player/jakob-nerwinski/salary-profile/),D,"$1,377","$71,625",Vancouver Whitecaps
506,Adam Najem (http://www.capology.com/soccer/player/adam-najem/salary-profile/),M,"$1,375","$71,500",Philadelphia Union
507,George Bello (http://www.capology.com/soccer/player/george-bello/salary-profile/),D,"$1,375","$71,500",Atlanta United
508,Romario Williams (http://www.capology.com/soccer/player/romario-williams/salary-profile/),F,"$1,375","$71,500",Atlanta United
509,Cory Burke (http://www.capology.com/soccer/player/cory-burke/salary-profile/),F,"$1,370","$71,224",Philadelphia Union
510,Nicolas Czornomaz (http://www.capology.com/soccer/player/nicolas-czornomaz/salary-profile/),M,"$1,370","$71,250",LAFC
511,Florian Valot (http://www.capology.com/soccer/player/florian-valot/salary-profile/),M,"$1,368","$71,136",NY Red Bulls
512,Jose Hernandez (http://www.capology.com/soccer/player/jose-hernandez/salary-profile/),M,"$1,363","$70,875",Real Salt Lake
513,Brett Levis (http://www.capology.com/soccer/player/brett-levis/salary-profile/),D,"$1,361","$70,750",Vancouver Whitecaps
514,Tristan Blackmon (http://www.capology.com/soccer/player/tristan-blackmon/salary-profile/),D,"$1,351","$70,234",LAFC
515,Stefano Bonomo (http://www.capology.com/soccer/player/stefano-bonomo/salary-profile/),F,"$1,345","$69,922",NY Red Bulls
516,Vincent Bezecourt (http://www.capology.com/soccer/player/vincent-bezecourt/salary-profile/),M,"$1,345","$69,921",NY Red Bulls
517,Aaron Kovar (http://www.capology.com/soccer/player/aaron-kovar/salary-profile/),M,"$1,340","$69,658",LAFC
518,Dane Kelly (http://www.capology.com/soccer/player/dane-kelly/salary-profile/),F,"$1,337","$69,500",D.C. United
519,Harrison Heath (http://www.capology.com/soccer/player/harrison-heath/salary-profile/),M,"$1,336","$69,458",Minnesota United
520,Anatole Abang (http://www.capology.com/soccer/player/anatole-abang/salary-profile/),F,"$1,326","$68,927",NY Red Bulls
521,Andre Rawls (http://www.capology.com/soccer/player/andre-rawls/salary-profile/),GK,"$1,325","$68,915",NYC FC
522,Drew Conner (http://www.capology.com/soccer/player/drew-conner/salary-profile/),M,"$1,325","$68,907",Chicago Fire
523,Eric Ayuk (http://www.capology.com/soccer/player/eric-ayuk/salary-profile/),M,"$1,325","$68,906",Philadelphia Union
524,Jack McBean (http://www.capology.com/soccer/player/jack-mcbean/salary-profile/),F,"$1,325","$68,906",Colorado Rapids
525,Kevin Garcia (http://www.capology.com/soccer/player/kevin-garcia/salary-profile/),D,"$1,325","$68,915",Houston Dynamo
526,Mikey Ambrose (http://www.capology.com/soccer/player/mikey-ambrose/salary-profile/),D,"$1,325","$68,906",Atlanta United
527,Oniel Fisher (http://www.capology.com/soccer/player/oniel-fisher/salary-profile/),D,"$1,325","$68,906",D.C. United
528,Tony Rocha (http://www.capology.com/soccer/player/tony-rocha/salary-profile/),M,"$1,325","$68,902",Orlando City
529,Travis Worra (http://www.capology.com/soccer/player/travis-worra/salary-profile/),GK,"$1,325","$68,906",D.C. United
530,Tyler Miller (http://www.capology.com/soccer/player/tyler-miller/salary-profile/),GK,"$1,325","$68,915",LAFC
531,Jon Gallagher (http://www.capology.com/soccer/player/jon-gallagher/salary-profile/),F,"$1,322","$68,750",Atlanta United
532,Luis Felipe (http://www.capology.com/soccer/player/luis-felipe/salary-profile/),M,"$1,317","$68,500",San Jose Earthquakes
533,Daniel Johnson (http://www.capology.com/soccer/player/daniel-johnson/salary-profile/),M,"$1,313","$68,254",Chicago Fire
534,Earl Edwards (http://www.capology.com/soccer/player/earl-edwards/salary-profile/),GK,"$1,313","$68,250",Orlando City
535,George Malki (http://www.capology.com/soccer/player/george-malki/salary-profile/),D,"$1,313","$68,254",Houston Dynamo
536,Jack Barmby (http://www.capology.com/soccer/player/jack-barmby/salary-profile/),M,"$1,313","$68,256",Portland Timbers
537,Kharlton Belmar (http://www.capology.com/soccer/player/kharlton-belmar/salary-profile/),F,"$1,313","$68,254",Sporting KC
538,Matt Bersano (http://www.capology.com/soccer/player/matt-bersano/salary-profile/),GK,"$1,313","$68,254",San Jose Earthquakes
539,Sam Hamilton (http://www.capology.com/soccer/player/sam-hamilton/salary-profile/),M,"$1,313","$68,254",Colorado Rapids
540,Spencer Richey (http://www.capology.com/soccer/player/spencer-richey/salary-profile/),GK,"$1,313","$68,254",Vancouver Whitecaps
541,Aaron Herrera (http://www.capology.com/soccer/player/aaron-herrera/salary-profile/),D,"$1,298","$67,500",Real Salt Lake
542,Adam Grinwis (http://www.capology.com/soccer/player/adam-grinwis/salary-profile/),GK,"$1,298","$67,500",Orlando City
543,Andres Flores (http://www.capology.com/soccer/player/andres-flores/salary-profile/),M,"$1,298","$67,500",Portland Timbers
544,Ariel Lassiter (http://www.capology.com/soccer/player/ariel-lassiter/salary-profile/),F,"$1,298","$67,500",LA Galaxy
545,Ben Sweat (http://www.capology.com/soccer/player/ben-sweat/salary-profile/),D,"$1,298","$67,500",NYC FC
546,Bertrand Owundi Eko'o (http://www.capology.com/soccer/player/bertrand-owund-ekoo/salary-profile/),D,"$1,298","$67,500",Minnesota United
547,Brandt Bronico (http://www.capology.com/soccer/player/brandt-bronico/salary-profile/),M,"$1,298","$67,500",Chicago Fire
548,Brian Sylvestre (http://www.capology.com/soccer/player/brian-sylvestre/salary-profile/),GK,"$1,298","$67,500",LA Galaxy
549,Brian Wright (http://www.capology.com/soccer/player/brian-wright/salary-profile/),F,"$1,298","$67,500",New England Revolution
550,Bryan Meredith (http://www.capology.com/soccer/player/bryan-meredith/salary-profile/),GK,"$1,298","$67,500",Seattle Sounders
551,Caleb Patterson-Sewell (http://www.capology.com/soccer/player/caleb-patterson-sewell/salary-profile/),GK,"$1,298","$67,500",Toronto FC
552,Calle Brown (http://www.capology.com/soccer/player/calle-brown/salary-profile/),GK,"$1,298","$67,500",Seattle Sounders
553,Charlie Lyon (http://www.capology.com/soccer/player/charlie-lyon/salary-profile/),GK,"$1,298","$67,500",LAFC
554,David Choiniere (http://www.capology.com/soccer/player/david-choiniere/salary-profile/),M,"$1,298","$67,500",Montreal Impact
555,Deklan Wynne (http://www.capology.com/soccer/player/deklan-wynne/salary-profile/),D,"$1,298","$67,500",Colorado Rapids
556,Emrah Klimenta (http://www.capology.com/soccer/player/emrah-klimenta/salary-profile/),D,"$1,298","$67,500",LA Galaxy
557,Enzo Martinez (http://www.capology.com/soccer/player/enzo-martinez/salary-profile/),M,"$1,298","$67,500",Colorado Rapids
558,Eric Bird (http://www.capology.com/soccer/player/eric-bird/salary-profile/),M,"$1,298","$67,500",Houston Dynamo
559,Femi Hollinger-Janzen (http://www.capology.com/soccer/player/femi-hollinger-janzen/salary-profile/),F,"$1,298","$67,500",New England Revolution
560,Frantz Pangop (http://www.capology.com/soccer/player/frantz-pangop/salary-profile/),M,"$1,298","$67,500",Minnesota United
561,Jason Hernandez (http://www.capology.com/soccer/player/jason-hernandez/salary-profile/),D,"$1,298","$67,500",Toronto FC
562,Jaylin Lindsey (http://www.capology.com/soccer/player/jaylin-lindsey/salary-profile/),D,"$1,298","$67,504",Sporting KC
563,Jimmy Ockford (http://www.capology.com/soccer/player/jimmy-ockford/salary-profile/),D,"$1,298","$67,500",San Jose Earthquakes
564,Jordan McCrary (http://www.capology.com/soccer/player/jordan-mccrary/salary-profile/),D,"$1,298","$67,500",Seattle Sounders
565,Jorge Corrales (http://www.capology.com/soccer/player/jorge-corrales/salary-profile/),D,"$1,298","$67,500",Chicago Fire
566,Kip Colvey (http://www.capology.com/soccer/player/kip-colvey/salary-profile/),D,"$1,298","$67,500",Colorado Rapids
567,Kris Reaves (http://www.capology.com/soccer/player/kris-reaves/salary-profile/),D,"$1,298","$67,500",FC Dallas
568,Kyle Zobeck (http://www.capology.com/soccer/player/kyle-zobeck/salary-profile/),GK,"$1,298","$67,500",FC Dallas
569,Logan Ketterer (http://www.capology.com/soccer/player/logan-ketterer/salary-profile/),GK,"$1,298","$67,500",Columbus Crew
570,Luis Gil (http://www.capology.com/soccer/player/luis-gil/salary-profile/),M,"$1,298","$67,500",Houston Dynamo
571,Mason Stajduhar (http://www.capology.com/soccer/player/mason-stajduhar/salary-profile/),GK,"$1,298","$67,500",Orlando City
572,Matt Turner (http://www.capology.com/soccer/player/matt-turner/salary-profile/),GK,"$1,298","$67,500",New England Revolution
573,Michael Salazar (http://www.capology.com/soccer/player/michael-salazar/salary-profile/),F,"$1,298","$67,500",Montreal Impact
574,Mike da Fonte (http://www.capology.com/soccer/player/mike-da-fonte/salary-profile/),D,"$1,298","$67,500",Colorado Rapids
575,Mitch Hildebrandt (http://www.capology.com/soccer/player/mitch-hildebrandt/salary-profile/),GK,"$1,298","$67,500",Atlanta United
576,Nick Besler (http://www.capology.com/soccer/player/nick-besler/salary-profile/),M,"$1,298","$67,500",Real Salt Lake
577,Olivier Mbaizo (http://www.capology.com/soccer/player/olivier-mbaizo/salary-profile/),D,"$1,298","$67,500",Philadelphia Union
578,Patrick McLain (http://www.capology.com/soccer/player/patrick-mclain/salary-profile/),GK,"$1,298","$67,500",Chicago Fire
579,Quillan Roberts (http://www.capology.com/soccer/player/quillan-roberts/salary-profile/),GK,"$1,298","$67,500",LAFC
580,Reggie Cannon (http://www.capology.com/soccer/player/reggie-cannon/salary-profile/),D,"$1,298","$67,500",FC Dallas
581,Sebastien Ibeagha (http://www.capology.com/soccer/player/sebastien-ibeagha/salary-profile/),D,"$1,298","$67,500",NYC FC
582,Servando Carrasco (http://www.capology.com/soccer/player/servando-carrasco/salary-profile/),M,"$1,298","$67,500",LA Galaxy
583,Taylor Peay (http://www.capology.com/soccer/player/taylor-peay/salary-profile/),D,"$1,298","$67,500",Real Salt Lake
584,Tony Alfaro (http://www.capology.com/soccer/player/tony-alfaro/salary-profile/),D,"$1,298","$67,500",Seattle Sounders
585,Tyler Deric (http://www.capology.com/soccer/player/tyler-deric/salary-profile/),GK,"$1,298","$67,500",Major League Soccer L.L.C
586,Wan Kuzain (http://www.capology.com/soccer/player/wan-kuzain/salary-profile/),M,"$1,298","$67,500",Sporting KC
587,Patrick Okonkwo (http://www.capology.com/soccer/player/patrick-okonkwo/salary-profile/),F,"$1,260","$65,504",Atlanta United
588,Marco Farfan (http://www.capology.com/soccer/player/marco-farfan/salary-profile/),D,"$1,240","$64,500",Portland Timbers
589,Mark McKenzie (http://www.capology.com/soccer/player/mark-mckenzie/salary-profile/),D,"$1,240","$64,500",Philadelphia Union
590,Ricardo Perez (http://www.capology.com/soccer/player/ricardo-perez/salary-profile/),M,"$1,178","$61,250",Colorado Rapids
591,Sam Vines (http://www.capology.com/soccer/player/sam-vines/salary-profile/),D,"$1,178","$61,250",Colorado Rapids
592,Simon Colyn (http://www.capology.com/soccer/player/simon-colyn/salary-profile/),M,"$1,168","$60,750",Vancouver Whitecaps
593,Ben Mines (http://www.capology.com/soccer/player/ben-mines/salary-profile/),M,"$1,164","$60,518",NY Red Bulls
594,Jack Elliott (http://www.capology.com/soccer/player/jack-elliott/salary-profile/),D,"$1,147","$59,630",Philadelphia Union
595,Chris Odoi-Atsem (http://www.capology.com/soccer/player/chris-odoi-atsem/salary-profile/),D,"$1,144","$59,500",D.C. United
596,Lagos Kunga (http://www.capology.com/soccer/player/lagos-kunga/salary-profile/),M,"$1,125","$58,500",Atlanta United
597,Chris Wehan (http://www.capology.com/soccer/player/chris-wehan/salary-profile/),M,"$1,115","$57,992",San Jose Earthquakes
598,Eric Dick (http://www.capology.com/soccer/player/eric-dick/salary-profile/),GK,"$1,114","$57,950",Sporting KC
599,Brandon Bye (http://www.capology.com/soccer/player/brandon-bye/salary-profile/),D,"$1,111","$57,761",New England Revolution
600,Mark Segbers (http://www.capology.com/soccer/player/mark-segbers/salary-profile/),D,"$1,111","$57,761",New England Revolution
601,Thomas Meilleur-Giguere (http://www.capology.com/soccer/player/thomas-meilleur-giguere/salary-profile/),D,"$1,108","$57,625",Montreal Impact
602,Kevin Politz (http://www.capology.com/soccer/player/kevin-politz/salary-profile/),D,"$1,098","$57,106",NY Red Bulls
603,Bryan Reynolds (http://www.capology.com/soccer/player/bryan-reynolds/salary-profile/),F,"$1,087","$56,500",FC Dallas
604,Jacob Akanyirige (http://www.capology.com/soccer/player/jacob-akanyirige/salary-profile/),D,"$1,087","$56,500",San Jose Earthquakes
605,Shaft Brewer (http://www.capology.com/soccer/player/shaft-brewer/salary-profile/),M,"$1,080","$56,167",LAFC
606,Louis Beland-Goyette (http://www.capology.com/soccer/player/louis-beland-goyette/salary-profile/),M,"$1,072","$55,750",Montreal Impact
607,Adrian Zendejas (http://www.capology.com/soccer/player/adrian-zendejas/salary-profile/),GK,"$1,070","$55,650",Sporting KC
608,Alex Kapp (http://www.capology.com/soccer/player/alex-kapp/salary-profile/),GK,"$1,070","$55,654",Minnesota United
609,Amer Didic (http://www.capology.com/soccer/player/amer-didic/salary-profile/),D,"$1,070","$55,654",Sporting KC
610,Andrew Wheeler-Omiunu (http://www.capology.com/soccer/player/andrew-wheeler-omiunu/salary-profile/),M,"$1,070","$55,654",Atlanta United
611,Charlie Ward (http://www.capology.com/soccer/player/charlie-ward/salary-profile/),M,"$1,070","$55,654",Houston Dynamo
612,Colton Storm (http://www.capology.com/soccer/player/colton-storm/salary-profile/),D,"$1,070","$55,654",Sporting KC
613,Connor Maloney (http://www.capology.com/soccer/player/connor-maloney/salary-profile/),D,"$1,070","$55,654",Columbus Crew
614,Evan Louro (http://www.capology.com/soccer/player/evan-louro/salary-profile/),GK,"$1,070","$55,654",NY Red Bulls
615,Henry Wingo (http://www.capology.com/soccer/player/henry-wingo/salary-profile/),D,"$1,070","$55,650",Seattle Sounders
616,Jake McGuire (http://www.capology.com/soccer/player/jake-mcguire/salary-profile/),GK,"$1,070","$55,654",Philadelphia Union
617,Jordy Delem (http://www.capology.com/soccer/player/jordy-delem/salary-profile/),M,"$1,070","$55,654",Seattle Sounders
618,Kendall McIntosh (http://www.capology.com/soccer/player/kendall-mcintosh/salary-profile/),GK,"$1,070","$55,650",Portland Timbers
619,Kwame Awuah (http://www.capology.com/soccer/player/kwame-awuah/salary-profile/),D,"$1,070","$55,654",NYC FC
620,Kyle Fisher (http://www.capology.com/soccer/player/kyle-fisher/salary-profile/),D,"$1,070","$55,654",Montreal Impact
621,Marcus Epps (http://www.capology.com/soccer/player/marcus-epps/salary-profile/),M,"$1,070","$55,654",Philadelphia Union
622,Memo Rodriguez (http://www.capology.com/soccer/player/memo-rodriguez/salary-profile/),M,"$1,070","$55,654",Houston Dynamo
623,Raheem Edwards (http://www.capology.com/soccer/player/raheem-edwards/salary-profile/),F,"$1,070","$55,654",Montreal Impact
624,Seyi Adekoya (http://www.capology.com/soccer/player/seyi-adekoya/salary-profile/),F,"$1,070","$55,650",Seattle Sounders
625,Stefan Cleveland (http://www.capology.com/soccer/player/stefan-cleveland/salary-profile/),GK,"$1,070","$55,654",Chicago Fire
626,David Norman (http://www.capology.com/soccer/player/david-norman/salary-profile/),M,"$1,067","$55,500",Vancouver Whitecaps
627,James Pantemis (http://www.capology.com/soccer/player/james-pantemis/salary-profile/),GK,"$1,058","$55,000",Montreal Impact
628,Aiden Daniels (http://www.capology.com/soccer/player/aiden-daniels/salary-profile/),M,"$1,048","$54,500",Toronto FC
629,Alex Roldan (http://www.capology.com/soccer/player/alex-roldan/salary-profile/),M,"$1,048","$54,500",Seattle Sounders
630,Ben Lundgaard (http://www.capology.com/soccer/player/ben-lundgaard/salary-profile/),GK,"$1,048","$54,500",Columbus Crew
631,Carter Manley (http://www.capology.com/soccer/player/carter-manley/salary-profile/),D,"$1,048","$54,500",Minnesota United
632,Connor Sparrow (http://www.capology.com/soccer/player/connor-sparrow/salary-profile/),GK,"$1,048","$54,504",Real Salt Lake
633,Corey Baird (http://www.capology.com/soccer/player/corey-baird/salary-profile/),F,"$1,048","$54,504",Real Salt Lake
634,Danny Musovski (http://www.capology.com/soccer/player/danny-musovski/salary-profile/),F,"$1,048","$54,500",San Jose Earthquakes
635,Deybi Flores (http://www.capology.com/soccer/player/deybi-flores/salary-profile/),M,"$1,048","$54,500",Vancouver Whitecaps
636,Diego Campos (http://www.capology.com/soccer/player/diego-campos/salary-profile/),M,"$1,048","$54,500",Chicago Fire
637,Elliot Collier (http://www.capology.com/soccer/player/elliot-collier/salary-profile/),F,"$1,048","$54,500",Chicago Fire
638,Foster Langsdorf (http://www.capology.com/soccer/player/foster-langsdorf/salary-profile/),F,"$1,048","$54,500",Portland Timbers
639,Graham Smith (http://www.capology.com/soccer/player/graham-smith/salary-profile/),D,"$1,048","$54,500",Sporting KC
640,Handwalla Bwana (http://www.capology.com/soccer/player/handwalla-bwana/salary-profile/),M,"$1,048","$54,500",Seattle Sounders
641,Hassan Ndam Fouapon (http://www.capology.com/soccer/player/hassan-ndam-fouapon/salary-profile/),D,"$1,048","$54,504",NY Red Bulls
642,Jason Beaulieu (http://www.capology.com/soccer/player/jason-beaulieu/salary-profile/),GK,"$1,048","$54,500",Montreal Impact
643,Jeff Caldwell (http://www.capology.com/soccer/player/jeff-caldwell/salary-profile/),GK,"$1,048","$54,500",NYC FC
644,Jesus Ferreira (http://www.capology.com/soccer/player/jesus-ferreira/salary-profile/),F,"$1,048","$54,500",FC Dallas
645,Jordan Cano (http://www.capology.com/soccer/player/jordan-cano/salary-profile/),D,"$1,048","$54,500",FC Dallas
646,Julian Dunn (http://www.capology.com/soccer/player/julian-dunn/salary-profile/),D,"$1,048","$54,500",Toronto FC
647,Justin Fiddes (http://www.capology.com/soccer/player/justin-fiddes/salary-profile/),D,"$1,048","$54,500",Vancouver Whitecaps
648,Justin Vom Steeg (http://www.capology.com/soccer/player/justin-vom-steeg/salary-profile/),GK,"$1,048","$54,500",LA Galaxy
649,Ken Krolicki (http://www.capology.com/soccer/player/ken-krolicki/salary-profile/),M,"$1,048","$54,500",Montreal Impact
650,Kyle Duncan (http://www.capology.com/soccer/player/kyle-duncan/salary-profile/),D,"$1,048","$54,500",NY Red Bulls
651,Luis Argudo (http://www.capology.com/soccer/player/luis-argudo/salary-profile/),M,"$1,048","$54,500",Columbus Crew
652,Mac Steeves (http://www.capology.com/soccer/player/mac-steeves/salary-profile/),GK,"$1,048","$54,500",Houston Dynamo
653,Marcos Bustos (http://www.capology.com/soccer/player/marcos-bustos/salary-profile/),M,"$1,048","$54,500",Vancouver Whitecaps
654,Mariano Mino (http://www.capology.com/soccer/player/mariano-mino/salary-profile/),M,"$1,048","$54,500",Toronto FC
655,Matt Lewis (http://www.capology.com/soccer/player/matt-lewis/salary-profile/),D,"$1,048","$54,500",Sporting KC
656,Matthew Real (http://www.capology.com/soccer/player/matthew-real/salary-profile/),D,"$1,048","$54,500",Philadelphia Union
657,Michael Nelson (http://www.capology.com/soccer/player/michael-nelson/salary-profile/),GK,"$1,048","$54,500",Houston Dynamo
658,Modou Jadama (http://www.capology.com/soccer/player/modou-jadama/salary-profile/),D,"$1,048","$54,500",Portland Timbers
659,Mohamed Thiaw (http://www.capology.com/soccer/player/mohamed-thiaw/salary-profile/),F,"$1,048","$54,500",San Jose Earthquakes
660,Myer Bevan (http://www.capology.com/soccer/player/myer-bevan/salary-profile/),F,"$1,048","$54,500",Vancouver Whitecaps
661,Nicolas Samayoa (http://www.capology.com/soccer/player/nicolas-samayoa/salary-profile/),D,"$1,048","$54,500",New England Revolution
662,Niki Jackson (http://www.capology.com/soccer/player/niki-jackson/salary-profile/),F,"$1,048","$54,500",Colorado Rapids
663,Nouhou Tolo (http://www.capology.com/soccer/player/nouhou-tolo/salary-profile/),D,"$1,048","$54,500",Seattle Sounders
664,Oliver Shannon (http://www.capology.com/soccer/player/oliver-shannon/salary-profile/),M,"$1,048","$54,500",Atlanta United
665,Paul Marie (http://www.capology.com/soccer/player/paul-marie/salary-profile/),D,"$1,048","$54,500",San Jose Earthquakes
666,Pierre Da Silva (http://www.capology.com/soccer/player/pierre-da-silva/salary-profile/),M,"$1,048","$54,504",Orlando City
667,Sean Melvin (http://www.capology.com/soccer/player/sean-melvin/salary-profile/),GK,"$1,048","$54,500",Vancouver Whitecaps
668,Steeve Saint-Duc (http://www.capology.com/soccer/player/steeve-saint-duc/salary-profile/),F,"$1,048","$54,500",LAFC
669,Wyatt Omsberg (http://www.capology.com/soccer/player/wyatt-omsberg/salary-profile/),D,"$1,048","$54,500",Minnesota United
