Rank,Player,Weekly Salary,Pos.,Age,Status,Length (Yrs),2018-19 Salary,2019-20 Salary,2020-21 Salary,2021-22 Salary,2022-23 Salary,2023-24 Salary,2024-25 Salary,Club
281,Bebé (http://www.capology.com/soccer/player/bebe/salary-profile/),"$18,639",LW,28,Reserve,3,"$969,216","$969,216","$969,216",$0,$0,$0,$0,Rayo Vallecano
282,Álex Granell (http://www.capology.com/soccer/player/alex-granell/salary-profile/),"$18,639",CM,30,Starter,3,"$969,216","$969,216","$969,216",$0,$0,$0,$0,Girona
283,Youssef En-Nesyri (http://www.capology.com/soccer/player/youssef-en-nesyri/salary-profile/),"$18,595",CF,21,Reserve,5,"$966,954","$966,954","$966,954","$966,954","$966,954",$0,$0,Leganés
284,Iván Cuéllar (http://www.capology.com/soccer/player/ivan-cuellar/salary-profile/),"$18,291",GK,34,Starter,1,"$951,121",$0,$0,$0,$0,$0,$0,Leganés
285,Mauro Arambarri (http://www.capology.com/soccer/player/mauro-arambarri/salary-profile/),"$18,291",CM,23,Starter,5,"$951,121","$951,121","$951,121","$951,121","$951,121",$0,$0,Getafe
286,Mario Suárez (http://www.capology.com/soccer/player/mario-suarez/salary-profile/),"$18,247",DM,32,Reserve,1,"$948,859",$0,$0,$0,$0,$0,$0,Rayo Vallecano
287,David Juncà (http://www.capology.com/soccer/player/david-junca/salary-profile/),"$18,117",LB,25,Starter,5,"$942,073","$942,073","$942,073","$942,073","$942,073",$0,$0,Celta Vigo
288,Edinaldo Gomes Pereira (http://www.capology.com/soccer/player/edinaldo-gomes-pereira/salary-profile/),"$18,052",CB,30,Reserve,2,"$938,680","$938,680",$0,$0,$0,$0,$0,Espanyol
289,Jon Bautista (http://www.capology.com/soccer/player/jon-bautista/salary-profile/),"$17,986",CF,23,Reserve,5,"$935,287","$935,287","$935,287","$935,287","$935,287",$0,$0,Real Sociedad
290,Dídac Vilà (http://www.capology.com/soccer/player/didac-vila/salary-profile/),"$17,965",LB,29,Starter,2,"$934,156","$934,156",$0,$0,$0,$0,$0,Espanyol
291,Lei Wu (http://www.capology.com/soccer/player/lei-wu/salary-profile/),"$17,921",LW,27,Starter,2,"$931,895","$931,895",$0,$0,$0,$0,$0,Espanyol
292,Bernardo Espinosa (http://www.capology.com/soccer/player/bernardo-espinosa/salary-profile/),"$17,834",CB,29,Reserve,3,"$927,371","$927,371","$927,371",$0,$0,$0,$0,Girona
293,Álex Gallar (http://www.capology.com/soccer/player/alex-gallar/salary-profile/),"$17,769",LW,27,Reserve,2,"$923,978","$923,978",$0,$0,$0,$0,$0,Huesca
294,Rubén Peña (http://www.capology.com/soccer/player/ruben-pena/salary-profile/),"$17,747",RB,27,Starter,3,"$922,847","$922,847","$922,847",$0,$0,$0,$0,Eibar
295,Jorge Miramón (http://www.capology.com/soccer/player/jorge-miramon/salary-profile/),"$17,725",RB,29,Reserve,1,"$921,716",$0,$0,$0,$0,$0,$0,Huesca
296,Mubarak Wakaso (http://www.capology.com/soccer/player/mubarak-wakaso/salary-profile/),"$17,660",CM,28,Reserve,2,"$918,323","$918,323",$0,$0,$0,$0,$0,Alaves
297,Daniel Raba (http://www.capology.com/soccer/player/daniel-raba/salary-profile/),"$17,617",RW,23,Reserve,2,"$916,061","$916,061",$0,$0,$0,$0,$0,Villarreal
298,José Pozo (http://www.capology.com/soccer/player/jose-pozo/salary-profile/),"$17,595",AM,23,Reserve,5,"$914,930","$914,930","$914,930","$914,930","$914,930",$0,$0,Rayo Vallecano
299,Joan Jordán (http://www.capology.com/soccer/player/joan-jordan/salary-profile/),"$17,551",CM,24,Starter,2,"$912,669","$912,669",$0,$0,$0,$0,$0,Eibar
300,Ximo Navarro (http://www.capology.com/soccer/player/ximo-navarro/salary-profile/),"$17,551",CB,29,Starter,3,"$912,669","$912,669","$912,669",$0,$0,$0,$0,Alaves
301,Anthony Lozano (http://www.capology.com/soccer/player/anthony-lozano/salary-profile/),"$17,443",CF,25,Reserve,4,"$907,014","$907,014","$907,014","$907,014",$0,$0,$0,Girona
302,Emiliano Velázquez (http://www.capology.com/soccer/player/emiliano-velazquez/salary-profile/),"$17,356",CB,24,Reserve,3,"$902,490","$902,490","$902,490",$0,$0,$0,$0,Rayo Vallecano
303,David Zurutuza (http://www.capology.com/soccer/player/david-zurutuza/salary-profile/),"$17,334",CM,32,Reserve,1,"$901,359",$0,$0,$0,$0,$0,$0,Real Sociedad
304,Mouctar Diakhaby (http://www.capology.com/soccer/player/mouctar-diakhaby/salary-profile/),"$17,334",CB,22,Reserve,5,"$901,359","$901,359","$901,359","$901,359","$901,359",$0,$0,Valencia
305,Johan Mojica (http://www.capology.com/soccer/player/johan-mojica/salary-profile/),"$17,290",LB,26,Reserve,4,"$899,097","$899,097","$899,097","$899,097",$0,$0,$0,Girona
306,Charles (http://www.capology.com/soccer/player/charles/salary-profile/),"$16,986",CF,35,Starter,2,"$883,264","$883,264",$0,$0,$0,$0,$0,Eibar
307,Uche Agbo (http://www.capology.com/soccer/player/uche-agbo/salary-profile/),"$16,964",DM,23,Reserve,1,"$882,133",$0,$0,$0,$0,$0,$0,Rayo Vallecano
308,Pablo Hervías (http://www.capology.com/soccer/player/pablo-hervias/salary-profile/),"$16,942",RW,26,Starter,1,"$881,002",$0,$0,$0,$0,$0,$0,Valladolid
309,Abdoulaye Ba (http://www.capology.com/soccer/player/abdoulaye-ba/salary-profile/),"$16,855",CB,28,Starter,3,"$876,479","$876,479","$876,479",$0,$0,$0,$0,Rayo Vallecano
310,Djené (http://www.capology.com/soccer/player/djene/salary-profile/),"$16,725",CB,27,Starter,5,"$869,693","$869,693","$869,693","$869,693","$869,693",$0,$0,Getafe
311,Andrii Lunin (http://www.capology.com/soccer/player/andrii-lunin/salary-profile/),"$16,660",GK,20,Reserve,1,"$866,300",$0,$0,$0,$0,$0,$0,Leganés
312,Iago Herrerín (http://www.capology.com/soccer/player/iago-herrerin/salary-profile/),"$16,594",GK,31,Starter,3,"$862,907","$862,907","$862,907",$0,$0,$0,$0,Athletic Club
313,Martin Aguirregabiria (http://www.capology.com/soccer/player/martin-aguirregabiria/salary-profile/),"$16,464",RB,22,Reserve,4,"$856,122","$856,122","$856,122","$856,122",$0,$0,$0,Alaves
314,Rubén Duarte (http://www.capology.com/soccer/player/ruben-duarte/salary-profile/),"$16,312",LB,23,Starter,2,"$848,205","$848,205",$0,$0,$0,$0,$0,Alaves
315,Nacho Martínez (http://www.capology.com/soccer/player/nacho-martinez/salary-profile/),"$16,290",LB,30,Starter,4,"$847,074","$847,074","$847,074","$847,074",$0,$0,$0,Valladolid
316,Cheick Doukouré (http://www.capology.com/soccer/player/cheick-doukoure/salary-profile/),"$16,246",DM,26,Reserve,3,"$844,812","$844,812","$844,812",$0,$0,$0,$0,Levante
317,Nabil El Zhar (http://www.capology.com/soccer/player/nabil-el-zhar/salary-profile/),"$16,246",RW,32,Starter,2,"$844,812","$844,812",$0,$0,$0,$0,$0,Leganés
318,Ignasi Miquel (http://www.capology.com/soccer/player/ignasi-miquel/salary-profile/),"$16,225",CB,26,Reserve,5,"$843,681","$843,681","$843,681","$843,681","$843,681",$0,$0,Getafe
319,Patrick Twumasi (http://www.capology.com/soccer/player/patrick-twumasi/salary-profile/),"$16,094",RW,24,Reserve,4,"$836,896","$836,896","$836,896","$836,896",$0,$0,$0,Alaves
320,Tomás Pina (http://www.capology.com/soccer/player/tomas-pina/salary-profile/),"$16,007",CM,31,Starter,3,"$832,372","$832,372","$832,372",$0,$0,$0,$0,Alaves
321,Esteban Granero (http://www.capology.com/soccer/player/esteban-granero/salary-profile/),"$15,964",CM,31,Starter,2,"$830,110","$830,110",$0,$0,$0,$0,$0,Espanyol
322,Pablo de Blasis (http://www.capology.com/soccer/player/pablo-de-blasis/salary-profile/),"$15,964",LW,31,Reserve,2,"$830,110","$830,110",$0,$0,$0,$0,$0,Eibar
323,Marc Roca (http://www.capology.com/soccer/player/marc-roca/salary-profile/),"$15,942",DM,22,Starter,4,"$828,979","$828,979","$828,979","$828,979",$0,$0,$0,Espanyol
324,Mikel Rico (http://www.capology.com/soccer/player/mikel-rico/salary-profile/),"$15,920",CM,34,Reserve,1,"$827,848",$0,$0,$0,$0,$0,$0,Athletic Club
325,Míchel (http://www.capology.com/soccer/player/michel/salary-profile/),"$15,920",AM,30,Starter,1,"$827,848",$0,$0,$0,$0,$0,$0,Valladolid
326,Amath Ndiaye (http://www.capology.com/soccer/player/amath-ndiaye/salary-profile/),"$15,877",LW,22,Starter,4,"$825,586","$825,586","$825,586","$825,586",$0,$0,$0,Getafe
327,Allan Nyom (http://www.capology.com/soccer/player/allan-nyom/salary-profile/),"$15,746",RB,30,Reserve,1,"$818,801",$0,$0,$0,$0,$0,$0,Leganés
328,Patrick Roberts (http://www.capology.com/soccer/player/patrick-roberts/salary-profile/),"$15,746",RW,22,Reserve,1,"$818,801",$0,$0,$0,$0,$0,$0,Girona
329,Pedro Alcalá (http://www.capology.com/soccer/player/pedro-alcala/salary-profile/),"$15,724",CB,30,Starter,3,"$817,670","$817,670","$817,670",$0,$0,$0,$0,Girona
330,Marko Dmitrovic (http://www.capology.com/soccer/player/marko-dmitrovic/salary-profile/),"$15,659",GK,27,Reserve,3,"$814,277","$814,277","$814,277",$0,$0,$0,$0,Eibar
331,Júnior Firpo (http://www.capology.com/soccer/player/junior-firpo/salary-profile/),"$15,572",LB,22,Reserve,5,"$809,753","$809,753","$809,753","$809,753","$809,753",$0,$0,Real Betis
332,Seydou Doumbia (http://www.capology.com/soccer/player/seydou-doumbia/salary-profile/),"$15,550",CF,31,Reserve,3,"$808,622","$808,622","$808,622",$0,$0,$0,$0,Girona
333,Bruno González (http://www.capology.com/soccer/player/bruno-gonzalez/salary-profile/),"$15,485",CB,28,Starter,2,"$805,229","$805,229",$0,$0,$0,$0,$0,Getafe
334,Gonzalo Melero (http://www.capology.com/soccer/player/gonzalo-melero/salary-profile/),"$15,463",AM,25,Reserve,2,"$804,098","$804,098",$0,$0,$0,$0,$0,Huesca
335,Luis Advíncula (http://www.capology.com/soccer/player/luis-advincula/salary-profile/),"$15,442",RB,29,Starter,1,"$802,967",$0,$0,$0,$0,$0,$0,Rayo Vallecano
336,Adrián Marín (http://www.capology.com/soccer/player/adrian-marin/salary-profile/),"$15,420",LB,22,Reserve,3,"$801,836","$801,836","$801,836",$0,$0,$0,$0,Alaves
337,Gorka Iraizoz (http://www.capology.com/soccer/player/gorka-iraizoz/salary-profile/),"$15,398",GK,38,Reserve,1,"$800,706",$0,$0,$0,$0,$0,$0,Girona
338,Kevin Vázquez (http://www.capology.com/soccer/player/kevin-vazquez/salary-profile/),"$15,355",RB,26,Reserve,5,"$798,444","$798,444","$798,444","$798,444","$798,444",$0,$0,Celta Vigo
339,Loren Morón (http://www.capology.com/soccer/player/loren-moron/salary-profile/),"$15,181",CF,25,Reserve,4,"$789,396","$789,396","$789,396","$789,396",$0,$0,$0,Real Betis
340,Roger Martí (http://www.capology.com/soccer/player/roger-marti/salary-profile/),"$15,181",CF,28,Starter,5,"$789,396","$789,396","$789,396","$789,396","$789,396",$0,$0,Levante
341,Víctor Laguardia (http://www.capology.com/soccer/player/victor-laguardia/salary-profile/),"$15,181",CB,29,Starter,4,"$789,396","$789,396","$789,396","$789,396",$0,$0,$0,Alaves
342,Aday (http://www.capology.com/soccer/player/aday/salary-profile/),"$15,137",LB,31,Reserve,3,"$787,134","$787,134","$787,134",$0,$0,$0,$0,Girona
343,Damián Musto (http://www.capology.com/soccer/player/damian-musto/salary-profile/),"$15,115",CM,31,Reserve,1,"$786,003",$0,$0,$0,$0,$0,$0,Huesca
344,Fran Beltrán (http://www.capology.com/soccer/player/fran-beltran/salary-profile/),"$15,050",CM,20,Reserve,5,"$782,610","$782,610","$782,610","$782,610","$782,610",$0,$0,Celta Vigo
345,Luismi (http://www.capology.com/soccer/player/luismi/salary-profile/),"$15,007",DM,26,Reserve,3,"$780,349","$780,349","$780,349",$0,$0,$0,$0,Valladolid
346,Antonio Luna (http://www.capology.com/soccer/player/antonio-luna/salary-profile/),"$14,985",LB,28,Starter,3,"$779,218","$779,218","$779,218",$0,$0,$0,$0,Levante
347,Brahim Díaz (http://www.capology.com/soccer/player/brahim-diaz/salary-profile/),"$14,985",AM,19,Reserve,7,"$779,218","$779,218","$779,218","$779,218","$779,218","$779,218","$779,218",Real Madrid
348,Brais Méndez (http://www.capology.com/soccer/player/brais-mendez/salary-profile/),"$14,963",RW,22,Starter,3,"$778,087","$778,087","$778,087",$0,$0,$0,$0,Celta Vigo
349,Gerard Gumbau (http://www.capology.com/soccer/player/gerard-gumbau/salary-profile/),"$14,811",CM,24,Starter,2,"$770,170","$770,170",$0,$0,$0,$0,$0,Leganés
350,Rodrigo Ely (http://www.capology.com/soccer/player/rodrigo-ely/salary-profile/),"$14,724",CB,25,Reserve,3,"$765,646","$765,646","$765,646",$0,$0,$0,$0,Alaves
351,Joel Robles (http://www.capology.com/soccer/player/joel-robles/salary-profile/),"$14,680",GK,28,Reserve,4,"$763,385","$763,385","$763,385","$763,385",$0,$0,$0,Real Betis
352,Unai Bustinza (http://www.capology.com/soccer/player/unai-bustinza/salary-profile/),"$14,593",CB,27,Reserve,3,"$758,861","$758,861","$758,861",$0,$0,$0,$0,Leganés
353,David Costas (http://www.capology.com/soccer/player/david-costas/salary-profile/),"$14,550",CB,24,Starter,2,"$756,599","$756,599",$0,$0,$0,$0,$0,Celta Vigo
354,Luisinho (http://www.capology.com/soccer/player/luisinho/salary-profile/),"$14,550",LB,33,Reserve,2,"$756,599","$756,599",$0,$0,$0,$0,$0,Huesca
355,Kévin Rodrigues (http://www.capology.com/soccer/player/kevin-rodrigues/salary-profile/),"$14,463",LB,25,Starter,4,"$752,075","$752,075","$752,075","$752,075",$0,$0,$0,Real Sociedad
356,Carlos Vigaray (http://www.capology.com/soccer/player/carlos-vigaray/salary-profile/),"$14,441",RB,24,Reserve,1,"$750,944",$0,$0,$0,$0,$0,$0,Alaves
357,Toni Villa (http://www.capology.com/soccer/player/toni-villa/salary-profile/),"$14,376",LW,24,Reserve,3,"$747,551","$747,551","$747,551",$0,$0,$0,$0,Valladolid
358,Jordi Calavera (http://www.capology.com/soccer/player/jordi-calavera/salary-profile/),"$14,332",RB,23,Reserve,1,"$745,289",$0,$0,$0,$0,$0,$0,Eibar
359,Toni Lato (http://www.capology.com/soccer/player/toni-lato/salary-profile/),"$14,202",LB,21,Reserve,3,"$738,504","$738,504","$738,504",$0,$0,$0,$0,Valencia
360,Óscar Plano (http://www.capology.com/soccer/player/oscar-plano/salary-profile/),"$14,202",CF,28,Starter,3,"$738,504","$738,504","$738,504",$0,$0,$0,$0,Valladolid
361,Guillermo Maripán (http://www.capology.com/soccer/player/guillermo-maripan/salary-profile/),"$14,158",CB,24,Starter,3,"$736,242","$736,242","$736,242",$0,$0,$0,$0,Alaves
362,Óscar Duarte (http://www.capology.com/soccer/player/oscar-duarte/salary-profile/),"$14,137",CB,29,Reserve,1,"$735,111",$0,$0,$0,$0,$0,$0,Espanyol
363,Enis Bardhi (http://www.capology.com/soccer/player/enis-bardhi/salary-profile/),"$14,093",AM,23,Starter,4,"$732,849","$732,849","$732,849","$732,849",$0,$0,$0,Levante
364,Oier Olazábal (http://www.capology.com/soccer/player/oier-olazabal/salary-profile/),"$14,093",GK,29,Reserve,3,"$732,849","$732,849","$732,849",$0,$0,$0,$0,Levante
365,Damián Suárez (http://www.capology.com/soccer/player/damian-suarez/salary-profile/),"$14,028",RB,30,Starter,4,"$729,456","$729,456","$729,456","$729,456",$0,$0,$0,Getafe
366,Jonás Ramalho (http://www.capology.com/soccer/player/jonas-ramalho/salary-profile/),"$13,985",CB,25,Starter,1,"$727,194",$0,$0,$0,$0,$0,$0,Girona
367,Sergio Reguilón (http://www.capology.com/soccer/player/sergio-reguilon/salary-profile/),"$13,854",LB,22,Reserve,2,"$720,409","$720,409",$0,$0,$0,$0,$0,Real Madrid
368,Pere Milla (http://www.capology.com/soccer/player/pere-milla/salary-profile/),"$13,832",LW,26,Reserve,2,"$719,278","$719,278",$0,$0,$0,$0,$0,Eibar
369,Sergio García (http://www.capology.com/soccer/player/sergio-garcia/salary-profile/),"$13,702",CF,35,Reserve,1,"$712,492",$0,$0,$0,$0,$0,$0,Espanyol
370,Francisco Portillo (http://www.capology.com/soccer/player/francisco-portillo/salary-profile/),"$13,571",AM,28,Starter,1,"$705,707",$0,$0,$0,$0,$0,$0,Getafe
371,Jonathan Silva (http://www.capology.com/soccer/player/jonathan-silva/salary-profile/),"$13,571",LB,24,Starter,1,"$705,707",$0,$0,$0,$0,$0,$0,Leganés
372,Andrew Hjulsager (http://www.capology.com/soccer/player/andrew-hjulsager/salary-profile/),"$13,550",RW,24,Reserve,2,"$704,576","$704,576",$0,$0,$0,$0,$0,Celta Vigo
373,Igor Zubeldia (http://www.capology.com/soccer/player/igor-zubeldia/salary-profile/),"$13,463",DM,22,Starter,6,"$700,052","$700,052","$700,052","$700,052","$700,052","$700,052",$0,Real Sociedad
374,Sergi Guardiola (http://www.capology.com/soccer/player/sergi-guardiola/salary-profile/),"$13,223",CF,27,Starter,5,"$687,612","$687,612","$687,612","$687,612","$687,612",$0,$0,Valladolid
375,Jorge Molina (http://www.capology.com/soccer/player/jorge-molina/salary-profile/),"$13,028",CF,36,Starter,1,"$677,433",$0,$0,$0,$0,$0,$0,Getafe
376,Erick Cabaco (http://www.capology.com/soccer/player/erick-cabaco/salary-profile/),"$13,006",CB,23,Starter,4,"$676,302","$676,302","$676,302","$676,302",$0,$0,$0,Levante
377,José Campaña (http://www.capology.com/soccer/player/jose-campana/salary-profile/),"$13,006",CM,25,Starter,2,"$676,302","$676,302",$0,$0,$0,$0,$0,Levante
378,Jean-Clair Todibo (http://www.capology.com/soccer/player/jean-clair-todibo/salary-profile/),"$12,984",CB,19,Reserve,5,"$675,171","$675,171","$675,171","$675,171","$675,171",$0,$0,Barcelona
379,Rubén Alcaraz (http://www.capology.com/soccer/player/ruben-alcaraz/salary-profile/),"$12,875",CM,27,Starter,4,"$669,516","$669,516","$669,516","$669,516",$0,$0,$0,Valladolid
380,Yangel Herrera (http://www.capology.com/soccer/player/yangel-herrera/salary-profile/),"$12,593",DM,21,Reserve,1,"$654,814",$0,$0,$0,$0,$0,$0,Huesca
381,Gorka Elustondo (http://www.capology.com/soccer/player/gorka-elustondo/salary-profile/),"$12,484",DM,32,Reserve,1,"$649,160",$0,$0,$0,$0,$0,$0,Rayo Vallecano
382,Oscar Melendo (http://www.capology.com/soccer/player/oscar-melendo/salary-profile/),"$12,462",AM,21,Starter,4,"$648,029","$648,029","$648,029","$648,029",$0,$0,$0,Espanyol
383,Javi López (http://www.capology.com/soccer/player/javi-lopez/salary-profile/),"$12,397",RB,33,Reserve,1,"$644,636",$0,$0,$0,$0,$0,$0,Espanyol
384,David Ferreiro (http://www.capology.com/soccer/player/david-ferreiro/salary-profile/),"$12,375",RW,31,Reserve,3,"$643,505","$643,505","$643,505",$0,$0,$0,$0,Huesca
385,Ferrán Torres (http://www.capology.com/soccer/player/ferran-torres/salary-profile/),"$12,288",RW,19,Reserve,3,"$638,981","$638,981","$638,981",$0,$0,$0,$0,Valencia
386,Bono (http://www.capology.com/soccer/player/bono/salary-profile/),"$12,223",GK,28,Starter,3,"$635,588","$635,588","$635,588",$0,$0,$0,$0,Girona
387,Antoñito (http://www.capology.com/soccer/player/antonito/salary-profile/),"$12,158",RB,31,Starter,1,"$632,195",$0,$0,$0,$0,$0,$0,Valladolid
388,Kiko Olivas (http://www.capology.com/soccer/player/kiko-olivas/salary-profile/),"$12,158",CB,30,Starter,2,"$632,195","$632,195",$0,$0,$0,$0,$0,Valladolid
389,Francis Guerrero (http://www.capology.com/soccer/player/francis-guerrero/salary-profile/),"$11,984",RB,23,Starter,5,"$623,148","$623,148","$623,148","$623,148","$623,148",$0,$0,Real Betis
390,Fernando Calero (http://www.capology.com/soccer/player/fernando-calero/salary-profile/),"$11,962",CB,23,Starter,3,"$622,017","$622,017","$622,017",$0,$0,$0,$0,Valladolid
391,Aitor Fernández (http://www.capology.com/soccer/player/aitor-fernandez/salary-profile/),"$11,918",GK,27,Starter,4,"$619,755","$619,755","$619,755","$619,755",$0,$0,$0,Levante
392,Manu García (http://www.capology.com/soccer/player/manu-garcia/salary-profile/),"$11,897",DM,32,Starter,1,"$618,624",$0,$0,$0,$0,$0,$0,Alaves
393,Jordi Masip (http://www.capology.com/soccer/player/jordi-masip/salary-profile/),"$11,831",GK,30,Starter,2,"$615,231","$615,231",$0,$0,$0,$0,$0,Valladolid
394,Carlos Akapo (http://www.capology.com/soccer/player/carlos-akapo/salary-profile/),"$11,005",RB,26,Starter,1,"$572,256",$0,$0,$0,$0,$0,$0,Huesca
395,Mathieu Flamini (http://www.capology.com/soccer/player/mathieu-flamini/salary-profile/),"$10,961",DM,35,Reserve,1,"$569,994",$0,$0,$0,$0,$0,$0,Getafe
396,Toño (http://www.capology.com/soccer/player/tono/salary-profile/),"$10,831",LB,29,Reserve,5,"$563,208","$563,208","$563,208","$563,208","$563,208",$0,$0,Levante
397,Álvaro Medrán (http://www.capology.com/soccer/player/alvaro-medran/salary-profile/),"$10,722",CM,25,Reserve,1,"$557,553",$0,$0,$0,$0,$0,$0,Rayo Vallecano
398,Chema (http://www.capology.com/soccer/player/chema/salary-profile/),"$10,635",CB,27,Reserve,2,"$553,030","$553,030",$0,$0,$0,$0,$0,Levante
399,Mariano Barbosa (http://www.capology.com/soccer/player/mariano-barbosa/salary-profile/),"$10,352",GK,34,Reserve,2,"$538,327","$538,327",$0,$0,$0,$0,$0,Villarreal
400,Santi Comesaña (http://www.capology.com/soccer/player/santi-comesana/salary-profile/),"$10,178",CM,22,Starter,5,"$529,280","$529,280","$529,280","$529,280","$529,280",$0,$0,Rayo Vallecano
401,Moisés Delgado (http://www.capology.com/soccer/player/moises-delgado/salary-profile/),"$10,070",LB,24,Reserve,2,"$523,625","$523,625",$0,$0,$0,$0,$0,Valladolid
402,Asier Riesgo (http://www.capology.com/soccer/player/asier-riesgo/salary-profile/),"$10,004",GK,35,Starter,1,"$520,232",$0,$0,$0,$0,$0,$0,Eibar
403,Joaquín Fernández (http://www.capology.com/soccer/player/joaquin-fernandez/salary-profile/),"$9,852",CB,22,Reserve,5,"$512,316","$512,316","$512,316","$512,316","$512,316",$0,$0,Valladolid
404,Tito (http://www.capology.com/soccer/player/tito/salary-profile/),"$9,852",RB,33,Reserve,1,"$512,316",$0,$0,$0,$0,$0,$0,Rayo Vallecano
405,Sergio Postigo (http://www.capology.com/soccer/player/sergio-postigo/salary-profile/),"$9,743",CB,30,Reserve,3,"$506,661","$506,661","$506,661",$0,$0,$0,$0,Levante
406,Leandro Chichizola (http://www.capology.com/soccer/player/leandro-chichizola/salary-profile/),"$9,722",GK,29,Reserve,3,"$505,530","$505,530","$505,530",$0,$0,$0,$0,Getafe
407,Daniele Bonera (http://www.capology.com/soccer/player/daniele-bonera/salary-profile/),"$9,374",CB,37,Reserve,1,"$487,435",$0,$0,$0,$0,$0,$0,Villarreal
408,Javi Guerra (http://www.capology.com/soccer/player/javi-guerra/salary-profile/),"$9,352",CF,37,Reserve,1,"$486,304",$0,$0,$0,$0,$0,$0,Rayo Vallecano
409,Javi Galán (http://www.capology.com/soccer/player/javi-galan/salary-profile/),"$9,287",LW,24,Starter,4,"$482,911","$482,911","$482,911","$482,911",$0,$0,$0,Huesca
410,Moi Gómez (http://www.capology.com/soccer/player/moi-gomez/salary-profile/),"$9,243",AM,24,Starter,1,"$480,650",$0,$0,$0,$0,$0,$0,Huesca
411,Alejandro Catena (http://www.capology.com/soccer/player/alejandro-catena/salary-profile/),"$9,091",CB,24,Reserve,2,"$472,733","$472,733",$0,$0,$0,$0,$0,Rayo Vallecano
412,Daniele Verde (http://www.capology.com/soccer/player/daniele-verde/salary-profile/),"$8,852",RW,22,Reserve,1,"$460,293",$0,$0,$0,$0,$0,$0,Valladolid
413,Àlex Moreno (http://www.capology.com/soccer/player/alex-moreno/salary-profile/),"$8,700",LB,25,Starter,3,"$452,376","$452,376","$452,376",$0,$0,$0,$0,Rayo Vallecano
414,Jason (http://www.capology.com/soccer/player/jason/salary-profile/),"$8,678",RW,24,Reserve,1,"$451,245",$0,$0,$0,$0,$0,$0,Levante
415,Markel Bergara (http://www.capology.com/soccer/player/markel-bergara/salary-profile/),"$8,678",DM,32,Reserve,2,"$451,245","$451,245",$0,$0,$0,$0,$0,Getafe
416,Pedro López (http://www.capology.com/soccer/player/pedro-lopez/salary-profile/),"$8,678",RB,35,Reserve,1,"$451,245",$0,$0,$0,$0,$0,$0,Levante
417,Rober Pier (http://www.capology.com/soccer/player/rober-pier/salary-profile/),"$8,678",CB,24,Starter,1,"$451,245",$0,$0,$0,$0,$0,$0,Levante
418,Rubén Pardo (http://www.capology.com/soccer/player/ruben-pardo/salary-profile/),"$8,678",CM,26,Starter,2,"$451,245","$451,245",$0,$0,$0,$0,$0,Real Sociedad
419,Darko Brasanac (http://www.capology.com/soccer/player/darko-brasanac/salary-profile/),"$8,482",CM,27,Starter,1,"$441,067",$0,$0,$0,$0,$0,$0,Alaves
420,Miguelón (http://www.capology.com/soccer/player/miguelon/salary-profile/),"$8,221",RB,23,Reserve,1,"$427,495",$0,$0,$0,$0,$0,$0,Villarreal
421,Christian Rivera (http://www.capology.com/soccer/player/christian-rivera/salary-profile/),"$8,112",CM,21,Starter,1,"$421,841",$0,$0,$0,$0,$0,$0,Huesca
422,Leandro Cabrera (http://www.capology.com/soccer/player/leandro-cabrera/salary-profile/),"$8,047",CB,27,Reserve,3,"$418,448","$418,448","$418,448",$0,$0,$0,$0,Getafe
423,Luca Sangalli (http://www.capology.com/soccer/player/luca-sangalli/salary-profile/),"$7,982",AM,24,Reserve,2,"$415,055","$415,055",$0,$0,$0,$0,$0,Real Sociedad
424,Andoni Gorosabel (http://www.capology.com/soccer/player/andoni-gorosabel/salary-profile/),"$7,830",RB,22,Reserve,3,"$407,138","$407,138","$407,138",$0,$0,$0,$0,Real Sociedad
425,Rodrigo Tarín (http://www.capology.com/soccer/player/rodrigo-tarin/salary-profile/),"$7,721",CB,22,Reserve,3,"$401,484","$401,484","$401,484",$0,$0,$0,$0,Leganés
426,Stiven Plaza (http://www.capology.com/soccer/player/stiven-plaza/salary-profile/),"$7,503",CF,20,Reserve,5,"$390,174","$390,174","$390,174","$390,174","$390,174",$0,$0,Valladolid
427,Adrián Embarba (http://www.capology.com/soccer/player/adrian-embarba/salary-profile/),"$7,416",RW,26,Reserve,3,"$385,651","$385,651","$385,651",$0,$0,$0,$0,Rayo Vallecano
428,Juan Aguilera (http://www.capology.com/soccer/player/juan-aguilera/salary-profile/),"$7,416",DM,33,Reserve,1,"$385,651",$0,$0,$0,$0,$0,$0,Huesca
429,Maximilian Wöber (http://www.capology.com/soccer/player/maximilian-wober/salary-profile/),"$7,308",CB,21,Reserve,5,"$379,996","$379,996","$379,996","$379,996","$379,996",$0,$0,Sevilla
430,Pedro Bigas (http://www.capology.com/soccer/player/pedro-bigas/salary-profile/),"$7,068",CB,28,Reserve,1,"$367,556",$0,$0,$0,$0,$0,$0,Eibar
431,Vasyl Kravets (http://www.capology.com/soccer/player/vasyl-kravets/salary-profile/),"$6,960",LB,21,Reserve,5,"$361,901","$361,901","$361,901","$361,901","$361,901",$0,$0,Leganés
432,Borja Fernández (http://www.capology.com/soccer/player/borja-fernandez/salary-profile/),"$6,851",DM,38,Reserve,1,"$356,246",$0,$0,$0,$0,$0,$0,Valladolid
433,Andrés Prieto (http://www.capology.com/soccer/player/andres-prieto/salary-profile/),"$6,655",GK,25,Reserve,1,"$346,068",$0,$0,$0,$0,$0,$0,Leganés
